number,filename,url,status,content_type,content_length,final_url,redirect_chain,server,via,response_bytes,elapsed_ms,classification,valid_m3u8,channel_name,channel_names,playlist_type,is_master,is_media,bandwidths,resolutions,codecs,frame_rates,audio_groups,video_groups,subtitles,target_duration,media_sequence,segment_count,uris,error
21,21.m3u8,https://streaming.televizor-24-tochka.ru/live/21.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/21.m3u8,https://streaming.televizor-24-tochka.ru/live/21.m3u8,nginx,,902,518.92,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,21-req_offset_28000000-req_window_0-3k_v5.m3u8; 21-req_offset_28000000-req_window_0-3k_v5.m3u8; 21-req_offset_28000000-req_window_0-1k_v5.m3u8; 21-req_offset_28000000-req_window_0-1k_v5.m3u8; 21-req_offset_28000000-req_window_0-2k_v5.m3u8; 21-req_offset_28000000-req_window_0-2k_v5.m3u8,
22,22.m3u8,https://streaming.televizor-24-tochka.ru/live/22.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/22.m3u8,https://streaming.televizor-24-tochka.ru/live/22.m3u8,nginx,,902,990.22,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,22-req_offset_28000000-req_window_0-3k_v5.m3u8; 22-req_offset_28000000-req_window_0-3k_v5.m3u8; 22-req_offset_28000000-req_window_0-1k_v5.m3u8; 22-req_offset_28000000-req_window_0-1k_v5.m3u8; 22-req_offset_28000000-req_window_0-2k_v5.m3u8; 22-req_offset_28000000-req_window_0-2k_v5.m3u8,
23,23.m3u8,https://streaming.televizor-24-tochka.ru/live/23.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/23.m3u8,https://streaming.televizor-24-tochka.ru/live/23.m3u8,nginx,,902,1270.01,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,23-req_offset_28000000-req_window_0-3k_v5.m3u8; 23-req_offset_28000000-req_window_0-3k_v5.m3u8; 23-req_offset_28000000-req_window_0-1k_v5.m3u8; 23-req_offset_28000000-req_window_0-1k_v5.m3u8; 23-req_offset_28000000-req_window_0-2k_v5.m3u8; 23-req_offset_28000000-req_window_0-2k_v5.m3u8,
24,24.m3u8,https://streaming.televizor-24-tochka.ru/live/24.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/24.m3u8,https://streaming.televizor-24-tochka.ru/live/24.m3u8,nginx,,902,1265.8,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,24-req_offset_28000000-req_window_0-3k_v5.m3u8; 24-req_offset_28000000-req_window_0-3k_v5.m3u8; 24-req_offset_28000000-req_window_0-1k_v5.m3u8; 24-req_offset_28000000-req_window_0-1k_v5.m3u8; 24-req_offset_28000000-req_window_0-2k_v5.m3u8; 24-req_offset_28000000-req_window_0-2k_v5.m3u8,
25,25.m3u8,https://streaming.televizor-24-tochka.ru/live/25.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/25.m3u8,https://streaming.televizor-24-tochka.ru/live/25.m3u8,nginx,,902,509.57,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,25-req_offset_28000000-req_window_0-3k_v5.m3u8; 25-req_offset_28000000-req_window_0-3k_v5.m3u8; 25-req_offset_28000000-req_window_0-1k_v5.m3u8; 25-req_offset_28000000-req_window_0-1k_v5.m3u8; 25-req_offset_28000000-req_window_0-2k_v5.m3u8; 25-req_offset_28000000-req_window_0-2k_v5.m3u8,
26,26.m3u8,https://streaming.televizor-24-tochka.ru/live/26.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/26.m3u8,https://streaming.televizor-24-tochka.ru/live/26.m3u8,nginx,,902,503.48,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,26-req_offset_28000000-req_window_0-3k_v5.m3u8; 26-req_offset_28000000-req_window_0-3k_v5.m3u8; 26-req_offset_28000000-req_window_0-1k_v5.m3u8; 26-req_offset_28000000-req_window_0-1k_v5.m3u8; 26-req_offset_28000000-req_window_0-2k_v5.m3u8; 26-req_offset_28000000-req_window_0-2k_v5.m3u8,
27,27.m3u8,https://streaming.televizor-24-tochka.ru/live/27.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/27.m3u8,https://streaming.televizor-24-tochka.ru/live/27.m3u8,nginx,,902,1275.07,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,27-req_offset_28000000-req_window_0-3k_v5.m3u8; 27-req_offset_28000000-req_window_0-3k_v5.m3u8; 27-req_offset_28000000-req_window_0-1k_v5.m3u8; 27-req_offset_28000000-req_window_0-1k_v5.m3u8; 27-req_offset_28000000-req_window_0-2k_v5.m3u8; 27-req_offset_28000000-req_window_0-2k_v5.m3u8,
28,28.m3u8,https://streaming.televizor-24-tochka.ru/live/28.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/28.m3u8,https://streaming.televizor-24-tochka.ru/live/28.m3u8,nginx,,902,519.4,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,28-req_offset_28000000-req_window_0-3k_v5.m3u8; 28-req_offset_28000000-req_window_0-3k_v5.m3u8; 28-req_offset_28000000-req_window_0-1k_v5.m3u8; 28-req_offset_28000000-req_window_0-1k_v5.m3u8; 28-req_offset_28000000-req_window_0-2k_v5.m3u8; 28-req_offset_28000000-req_window_0-2k_v5.m3u8,
29,29.m3u8,https://streaming.televizor-24-tochka.ru/live/29.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/29.m3u8,https://streaming.televizor-24-tochka.ru/live/29.m3u8,nginx,,902,501.74,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,29-req_offset_28000000-req_window_0-3k_v5.m3u8; 29-req_offset_28000000-req_window_0-3k_v5.m3u8; 29-req_offset_28000000-req_window_0-1k_v5.m3u8; 29-req_offset_28000000-req_window_0-1k_v5.m3u8; 29-req_offset_28000000-req_window_0-2k_v5.m3u8; 29-req_offset_28000000-req_window_0-2k_v5.m3u8,
30,30.m3u8,https://streaming.televizor-24-tochka.ru/live/30.m3u8,200,application/vnd.apple.mpegurl,902,https://streaming.televizor24.cc/live/30.m3u8,https://streaming.televizor-24-tochka.ru/live/30.m3u8,nginx,,902,503.82,M3U8_MASTER,True,,,MASTER,True,False,446000; 796000; 2096000,426x240; 1024x576; 640x360,"mp4a.40.2,avc1.42C01F; mp4a.40.2,avc1.4D4028; mp4a.40.2,avc1.4D401F",,,,,,,0,30-req_offset_28000000-req_window_0-3k_v5.m3u8; 30-req_offset_28000000-req_window_0-3k_v5.m3u8; 30-req_offset_28000000-req_window_0-1k_v5.m3u8; 30-req_offset_28000000-req_window_0-1k_v5.m3u8; 30-req_offset_28000000-req_window_0-2k_v5.m3u8; 30-req_offset_28000000-req_window_0-2k_v5.m3u8,
