=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-09-01_06-33-46] ===
[06:33:57.114] [ДРЕГ-ЭТАП 3] ID 258: проверка потока
[06:33:57.115] [ДРЕГ-ЭТАП 3] ID 259: проверка потока
[06:33:57.131] [ДРЕГ-ЭТАП 3] ID 260: проверка потока
[06:33:57.140] [ДРЕГ-ЭТАП 3] ID 261: проверка потока
[06:33:57.243] [ДРЕГ-ЭТАП 3] ID 262: проверка потока
[06:33:57.312] [ДРЕГ-ЭТАП 3] ID 263: проверка потока
[06:33:57.314] [ДРЕГ-ЭТАП 3] ID 264: проверка потока
[06:33:57.331] [ДРЕГ-ЭТАП 3] ID 265: проверка потока
[06:33:57.336] [ДРЕГ-ЭТАП 3] ID 266: проверка потока
[06:33:57.430] [ДРЕГ-ЭТАП 3] ID 267: проверка потока
[06:33:57.469] [ДРЕГ-ЭТАП 3] ID 268: проверка потока
[06:33:57.475] [ДРЕГ-ЭТАП 3] ID 269: проверка потока
[06:33:57.529] [ДРЕГ-ЭТАП 3] ID 270: проверка потока
[06:33:57.540] [ДРЕГ-ЭТАП 3] ID 271: проверка потока
[06:33:57.578] [ДРЕГ-ЭТАП 3] ID 272: проверка потока
[06:33:57.642] [ДРЕГ-ЭТАП 3] ID 273: проверка потока
[06:33:57.719] [ДРЕГ-ЭТАП 3] ID 274: проверка потока
[06:33:57.735] [ДРЕГ-ЭТАП 3] ID 275: проверка потока
[06:33:57.745] [ДРЕГ-ЭТАП 3] ID 276: проверка потока
[06:33:57.790] [ДРЕГ-ЭТАП 3] ID 277: проверка потока
[06:33:57.892] [ДРЕГ-ЭТАП 3] ID 278: проверка потока
[06:33:57.909] [ДРЕГ-ЭТАП 3] ID 279: проверка потока
[06:33:57.930] [ДРЕГ-ЭТАП 3] ID 280: проверка потока
[06:33:58.044] [ДРЕГ-ЭТАП 3] ID 281: проверка потока
[06:33:58.064] [ДРЕГ-ЭТАП 3] ID 282: проверка потока
[06:33:58.079] [ДРЕГ-ЭТАП 3] ID 283: проверка потока
[06:33:58.094] [ДРЕГ-ЭТАП 3] ID 284: проверка потока
[06:33:58.162] [ДРЕГ-ЭТАП 3] ID 285: проверка потока
[06:33:58.227] [ДРЕГ-ЭТАП 3] ID 286: проверка потока
[06:33:58.247] [ДРЕГ-ЭТАП 3] ID 287: проверка потока
[06:33:58.252] [ДРЕГ-ЭТАП 3] ID 288: проверка потока
[06:33:58.268] [ДРЕГ-ЭТАП 3] ID 289: проверка потока
[06:33:58.317] [ДРЕГ-ЭТАП 3] ID 290: проверка потока
[06:33:58.429] [ДРЕГ-ЭТАП 3] ID 291: проверка потока
[06:33:58.429] [ДРЕГ-ЭТАП 3] ID 292: проверка потока
[06:33:58.459] [ДРЕГ-ЭТАП 3] ID 293: проверка потока
[06:33:58.465] [ДРЕГ-ЭТАП 3] ID 294: проверка потока
[06:33:58.481] [ДРЕГ-ЭТАП 3] ID 295: проверка потока
[06:33:58.575] [ДРЕГ-ЭТАП 3] ID 296: проверка потока
[06:33:58.623] [ДРЕГ-ЭТАП 3] ID 297: проверка потока
[06:33:58.627] [ДРЕГ-ЭТАП 3] ID 298: проверка потока
[06:33:58.637] [ДРЕГ-ЭТАП 3] ID 299: проверка потока
[06:33:58.655] [ДРЕГ-ЭТАП 3] ID 300: проверка потока
[06:33:58.735] [ДРЕГ-ЭТАП 3] ID 301: проверка потока
[06:33:58.780] [ДРЕГ-ЭТАП 3] ID 302: проверка потока
[06:33:58.822] [ДРЕГ-ЭТАП 3] ID 303: проверка потока
[06:33:58.825] [ДРЕГ-ЭТАП 3] ID 304: проверка потока
[06:33:58.848] [ДРЕГ-ЭТАП 3] ID 305: проверка потока
[06:33:58.916] [ДРЕГ-ЭТАП 3] ID 306: проверка потока
[06:33:58.936] [ДРЕГ-ЭТАП 3] ID 307: проверка потока
[06:33:58.963] [ДРЕГ-ЭТАП 3] ID 308: проверка потока
[06:33:59.006] [ДРЕГ-ЭТАП 3] ID 309: проверка потока
[06:33:59.010] [ДРЕГ-ЭТАП 3] ID 310: проверка потока
[06:33:59.121] [ДРЕГ-ЭТАП 3] ID 311: проверка потока
[06:33:59.130] [ДРЕГ-ЭТАП 3] ID 312: проверка потока
[06:33:59.161] [ДРЕГ-ЭТАП 3] ID 313: проверка потока
[06:33:59.201] [ДРЕГ-ЭТАП 3] ID 314: проверка потока
[06:33:59.300] [ДРЕГ-ЭТАП 3] ID 315: проверка потока
[06:33:59.305] [ДРЕГ-ЭТАП 3] ID 316: проверка потока
[06:33:59.329] [ДРЕГ-ЭТАП 3] ID 317: проверка потока
[06:33:59.363] [ДРЕГ-ЭТАП 3] ID 318: проверка потока
[06:33:59.381] [ДРЕГ-ЭТАП 3] ID 319: проверка потока
[06:33:59.450] [ДРЕГ-ЭТАП 3] ID 320: проверка потока
[06:33:59.451] [ДРЕГ-ЭТАП 3] ID 321: проверка потока
[06:33:59.471] [ДРЕГ-ЭТАП 3] ID 322: проверка потока
[06:33:59.503] [ДРЕГ-ЭТАП 3] ID 323: проверка потока
[06:33:59.512] [ДРЕГ-ЭТАП 3] ID 324: проверка потока
[06:33:59.534] [ДРЕГ-ЭТАП 3] ID 325: проверка потока
[06:33:59.598] [ДРЕГ-ЭТАП 3] ID 326: проверка потока
[06:33:59.642] [ДРЕГ-ЭТАП 3] ID 327: проверка потока
[06:33:59.648] [ДРЕГ-ЭТАП 3] ID 328: проверка потока
[06:33:59.656] [ДРЕГ-ЭТАП 3] ID 329: проверка потока
[06:33:59.719] [ДРЕГ-ЭТАП 3] ID 330: проверка потока
[06:33:59.720] [ДРЕГ-ЭТАП 3] ID 331: проверка потока
[06:33:59.745] [ДРЕГ-ЭТАП 3] ID 332: проверка потока
[06:33:59.795] [ДРЕГ-ЭТАП 3] ID 333: проверка потока
[06:33:59.797] [ДРЕГ-ЭТАП 3] ID 334: проверка потока
[06:33:59.833] [ДРЕГ-ЭТАП 3] ID 335: проверка потока
[06:33:59.843] [ДРЕГ-ЭТАП 3] ID 336: проверка потока
[06:33:59.876] [ДРЕГ-ЭТАП 3] ID 337: проверка потока
[06:33:59.942] [ДРЕГ-ЭТАП 3] ID 338: проверка потока
[06:33:59.944] [ДРЕГ-ЭТАП 3] ID 339: проверка потока
[06:33:59.971] [ДРЕГ-ЭТАП 3] ID 340: проверка потока
[06:34:00.028] [ДРЕГ-ЭТАП 3] ID 341: проверка потока
[06:34:00.037] [ДРЕГ-ЭТАП 3] ID 342: проверка потока
[06:34:00.058] [ДРЕГ-ЭТАП 3] ID 343: проверка потока
[06:34:00.084] [ДРЕГ-ЭТАП 3] ID 344: проверка потока
[06:34:00.120] [ДРЕГ-ЭТАП 3] ID 345: проверка потока
[06:34:00.147] [ДРЕГ-ЭТАП 3] ID 346: проверка потока
[06:34:00.205] [ДРЕГ-ЭТАП 3] ID 347: проверка потока
[06:34:00.212] [ДРЕГ-ЭТАП 3] ID 348: проверка потока
[06:34:00.220] [ДРЕГ-ЭТАП 3] ID 349: проверка потока
[06:34:00.234] [ДРЕГ-ЭТАП 3] ID 350: проверка потока
[06:34:00.299] [ДРЕГ-ЭТАП 3] ID 351: проверка потока
[06:34:00.357] [ДРЕГ-ЭТАП 3] ID 352: проверка потока
[06:34:00.388] [ДРЕГ-ЭТАП 3] ID 353: проверка потока
[06:34:00.402] [ДРЕГ-ЭТАП 3] ID 354: проверка потока
[06:34:00.419] [ДРЕГ-ЭТАП 3] ID 355: проверка потока
