=== ЛОГ-ОТЧЕТ СКАЛА / ДРЕГ [2026-08-22_04-05-25] ===
[04:05:26.442] [ДРЕГ-ЭТАП 3] ID 255: проверка потока
[04:05:26.444] [ДРЕГ-ЭТАП 3] ID 256: проверка потока
[04:05:26.444] [ДРЕГ-ЭТАП 3] ID 257: проверка потока
[04:05:26.445] [ДРЕГ-ЭТАП 3] ID 258: проверка потока
[04:05:26.445] [ДРЕГ-ЭТАП 3] ID 259: проверка потока
[04:05:26.448] [ДРЕГ-ЭТАП 3] ID 260: проверка потока
[04:05:26.451] [ДРЕГ-ЭТАП 3] ID 261: проверка потока
[04:05:26.452] [ДРЕГ-ЭТАП 3] ID 262: проверка потока
[04:05:26.453] [ДРЕГ-ЭТАП 3] ID 263: проверка потока
[04:05:26.459] [ДРЕГ-ЭТАП 3] ID 264: проверка потока
[04:05:26.460] [ДРЕГ-ЭТАП 3] ID 265: проверка потока
[04:05:26.476] [ДРЕГ-ЭТАП 3] ID 266: проверка потока
[04:05:26.481] [ДРЕГ-ЭТАП 3] ID 267: проверка потока
[04:05:26.485] [ДРЕГ-ЭТАП 3] ID 268: проверка потока
[04:05:26.488] [ДРЕГ-ЭТАП 3] ID 269: проверка потока
[04:05:26.491] [ДРЕГ-ЭТАП 3] ID 270: проверка потока
[04:05:26.494] [ДРЕГ-ЭТАП 3] ID 271: проверка потока
[04:05:26.494] [ДРЕГ-ЭТАП 3] ID 272: проверка потока
[04:05:26.495] [ДРЕГ-ЭТАП 3] ID 273: проверка потока
[04:05:26.496] [ДРЕГ-ЭТАП 3] ID 274: проверка потока
[04:05:26.504] [ДРЕГ-ЭТАП 3] ID 275: проверка потока
[04:05:26.507] [ДРЕГ-ЭТАП 3] ID 276: проверка потока
[04:05:26.512] [ДРЕГ-ЭТАП 3] ID 277: проверка потока
[04:05:26.522] [ДРЕГ-ЭТАП 3] ID 278: проверка потока
[04:05:26.524] [ДРЕГ-ЭТАП 3] ID 279: проверка потока
[04:05:26.526] [ДРЕГ-ЭТАП 3] ID 280: проверка потока
[04:05:26.527] [ДРЕГ-ЭТАП 3] ID 281: проверка потока
[04:05:26.530] [ДРЕГ-ЭТАП 3] ID 282: проверка потока
[04:05:26.533] [ДРЕГ-ЭТАП 3] ID 283: проверка потока
[04:05:26.539] [ДРЕГ-ЭТАП 3] ID 284: проверка потока
[04:05:26.541] [ДРЕГ-ЭТАП 3] ID 285: проверка потока
[04:05:26.545] [ДРЕГ-ЭТАП 3] ID 286: проверка потока
[04:05:26.546] [ДРЕГ-ЭТАП 3] ID 287: проверка потока
